Project ID,Start Date,End Date,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Actual Cost,Progress
P079,22/04/2024,25/05/2024,Medium,T003,Task 003 of Road Expansion Project 079,Completed,Charlie,13,9474,1
P080,16/04/2024,09/07/2024,High,T001,Task 001 of Bridge Maintenance Project 080,Pending,Eve,13,0,0.7
P080,16/04/2024,23/06/2024,Low,T002,Task 002 of Bridge Maintenance Project 080,In Progress,Grace,15,0,0.65
P080,16/04/2024,06/07/2024,Medium,T003,Task 003 of Bridge Maintenance Project 080,Completed,Alice,27,8333,1
P081,31/05/2024,04/01/2025,High,T001,Task 001 of Office Building Renovation Project 081,In Progress,Alice,26,0,0.08
P081,31/05/2024,03/03/2025,Medium,T002,Task 002 of Office Building Renovation Project 081,In Progress,Frank,5,0,0.09
P081,31/05/2024,03/07/2024,High,T003,Task 003 of Office Building Renovation Project 081,Completed,Ivy,5,5756,1
P082,01/07/2024,12/03/2025,Medium,T001,Task 001 of Apartment Complex Development Project 082,In Progress,Ivy,4,0,0.47
P082,01/07/2024,25/09/2024,Medium,T002,Task 002 of Apartment Complex Development Project 082,Completed,Grace,10,1878,1
P082,01/07/2024,17/03/2025,High,T003,Task 003 of Apartment Complex Development Project 082,In Progress,Ivy,21,0,0.58
P083,20/03/2024,05/06/2024,Medium,T001,Task 001 of Commercial Center Construction Project 083,Completed,Alice,24,8633,1
P083,20/03/2024,25/05/2024,High,T002,Task 002 of Commercial Center Construction Project 083,Completed,Charlie,19,9196,1
P083,20/03/2024,15/06/2024,High,T003,Task 003 of Commercial Center Construction Project 083,In Progress,Charlie,28,0,0.37
P084,09/06/2024,08/05/2025,Low,T001,Task 001 of Highway Reconstruction Project 084,Pending,Charlie,17,0,0.54
P084,09/06/2024,19/04/2025,Medium,T002,Task 002 of Highway Reconstruction Project 084,In Progress,Ivy,16,0,0.91
P084,09/06/2024,25/03/2025,High,T003,Task 003 of Highway Reconstruction Project 084,Pending,Eve,14,0,0.2
P085,03/08/2024,18/11/2024,Low,T001,Task 001 of Airport Expansion Project 085,Pending,Alice,17,0,0.02
P085,03/08/2024,25/09/2024,High,T002,Task 002 of Airport Expansion Project 085,Completed,David,15,4572,1
P085,03/08/2024,19/11/2024,High,T003,Task 003 of Airport Expansion Project 085,Pending,Alice,24,0,0.51
P086,29/01/2024,10/12/2024,High,T001,Task 001 of Shopping Mall Renovation Project 086,In Progress,Eve,35,0,0.54
P086,29/01/2024,25/09/2024,High,T002,Task 002 of Shopping Mall Renovation Project 086,Completed,Eve,6,7120,1
P086,29/01/2024,17/10/2024,High,T003,Task 003 of Shopping Mall Renovation Project 086,Pending,Alice,19,0,0.25
P087,17/02/2024,11/09/2025,High,T001,Task 001 of University Dormitory Construction Project 087,In Progress,Frank,8,0,0.06
P087,17/02/2024,07/10/2025,Medium,T002,Task 002 of University Dormitory Construction Project 087,Pending,Bob,1,0,0.45
P087,17/02/2024,06/10/2025,High,T003,Task 003 of University Dormitory Construction Project 087,In Progress,Alice,12,0,0.3
P088,21/07/2024,13/02/2025,High,T001,Task 001 of Sports Stadium Upgrade Project 088,In Progress,Alice,16,0,0.29
P088,21/07/2024,02/02/2025,Medium,T002,Task 002 of Sports Stadium Upgrade Project 088,Pending,Bob,30,0,0.48
P088,21/07/2024,21/12/2024,High,T003,Task 003 of Sports Stadium Upgrade Project 088,In Progress,David,18,0,0.77
P089,26/05/2024,06/05/2025,Medium,T001,Task 001 of Public Library Renovation Project 089,In Progress,Grace,17,0,0.75
P089,26/05/2024,18/07/2025,High,T002,Task 002 of Public Library Renovation Project 089,In Progress,Alice,4,0,0.23
P089,26/05/2024,28/06/2024,Medium,T003,Task 003 of Public Library Renovation Project 089,Completed,Charlie,34,8476,1
P090,11/06/2024,14/07/2024,High,T001,Task 001 of Building a Park Project 090,Completed,Ivy,21,9031,1
P090,11/06/2024,01/09/2025,Low,T002,Task 002 of Building a Park Project 090,In Progress,Alice,27,0,0.08
P090,11/06/2024,21/10/2025,High,T003,Task 003 of Building a Park Project 090,In Progress,Bob,21,0,0.96
P091,22/05/2024,24/06/2024,High,T001,Task 001 of Renovation of a School Project 091,Completed,Bob,23,7138,1
P091,22/05/2024,13/03/2025,Medium,T002,Task 002 of Renovation of a School Project 091,Pending,Eve,22,0,0.92
P091,22/05/2024,21/03/2025,Low,T003,Task 003 of Renovation of a School Project 091,Pending,Eve,33,0,0.64
P092,03/03/2024,26/11/2024,Medium,T001,Task 001 of Innovation of a Classroom Project 092,Pending,Eve,22,0,0.04
P092,03/03/2024,25/09/2024,Medium,T002,Task 002 of Innovation of a Classroom Project 092,Completed,Charlie,13,9485,1
P092,03/03/2024,25/09/2024,High,T003,Task 003 of Innovation of a Classroom Project 092,Completed,David,11,5788,1
P093,19/08/2024,21/09/2024,Low,T001,Task 001 of Construction of a Hospital Wing Project 093,Completed,Alice,40,3888,1
P093,19/08/2024,19/04/2025,Low,T002,Task 002 of Construction of a Hospital Wing Project 093,In Progress,Grace,31,0,0.75
P093,19/08/2024,21/09/2024,Low,T003,Task 003 of Construction of a Hospital Wing Project 093,Completed,Charlie,0,4148,1
P094,28/06/2024,06/10/2024,High,T001,Task 001 of Road Expansion Project 094,In Progress,Grace,13,0,0.44
P094,28/06/2024,29/09/2024,High,T002,Task 002 of Road Expansion Project 094,In Progress,Ivy,20,0,0.42
P094,28/06/2024,23/09/2024,Medium,T003,Task 003 of Road Expansion Project 094,In Progress,Charlie,39,3357,0.37
P095,17/02/2024,02/08/2024,Medium,T001,Task 001 of Bridge Maintenance Project 095,Pending,Eve,24,0,0.81
P095,17/02/2024,29/06/2024,Low,T002,Task 002 of Bridge Maintenance Project 095,In Progress,Grace,34,0,0.97
P095,17/02/2024,27/07/2024,High,T003,Task 003 of Bridge Maintenance Project 095,In Progress,Charlie,7,0,0.58
P096,03/03/2024,06/05/2025,Low,T001,Task 001 of Office Building Renovation Project 096,Pending,Alice,17,0,0.69
P096,03/03/2024,05/01/2025,Medium,T002,Task 002 of Office Building Renovation Project 096,In Progress,Frank,20,6060,0.08
P096,03/03/2024,09/03/2025,High,T003,Task 003 of Office Building Renovation Project 096,Pending,Ivy,32,0,0.92
P097,08/06/2024,08/12/2024,High,T001,Task 001 of Apartment Complex Development Project 097,Pending,Ivy,9,0,0.5
P097,08/06/2024,08/03/2025,Medium,T002,Task 002 of Apartment Complex Development Project 097,Pending,Grace,17,0,0.2
P097,08/06/2024,21/12/2024,High,T003,Task 003 of Apartment Complex Development Project 097,Pending,Ivy,32,0,0.66
P098,15/08/2024,23/01/2025,Medium,T001,Task 001 of Commercial Center Construction Project 098,In Progress,Alice,12,0,0.67
P098,15/08/2024,28/01/2025,Medium,T002,Task 002 of Commercial Center Construction Project 098,Pending,Charlie,25,0,0.83
P098,15/08/2024,27/04/2025,High,T003,Task 003 of Commercial Center Construction Project 098,In Progress,Charlie,20,0,0.3
P099,31/05/2024,22/12/2024,Medium,T001,Task 001 of Highway Reconstruction Project 099,Pending,Charlie,7,0,0.14
P099,31/05/2024,01/03/2025,High,T002,Task 002 of Highway Reconstruction Project 099,Pending,Ivy,5,0,0.36
P099,31/05/2024,11/03/2025,High,T003,Task 003 of Highway Reconstruction Project 099,Pending,Eve,19,0,0.91
P100,08/08/2024,02/09/2024,Medium,T001,Task 001 of Airport Expansion Project 100,Pending,Charlie,30,0,0.85
P100,08/08/2024,30/08/2024,Medium,T002,Task 002 of Airport Expansion Project 100,Pending,David,12,0,0.02
P100,08/08/2024,30/08/2024,Medium,T003,Task 003 of Airport Expansion Project 100,In Progress,Alice,38,0,0.86
